№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
156,ta1,它,,оно  (неодушевленные предметы),оно; она; он (не о людях); (о неодушевленном),берет,матрос,,,,"Матросик одел на голову берет, который он выловил в море. Из берета выползло ОНО, и выгрызло мозг матросика. ОНО было зеленое (1 тон) и отдаленно походило на Чебурашку",
157,jiang1,将,將,в будущем; будет,"в будущем; вот-вот (обычно передается глаголом в будущем времени); будет, брать, (предлог)",зубрила,лапа/кенгуру,кран,,,,
158,hua4,化,,"1. превращать(ся) 
2.таять, раствориться 
3. химия",превращать(ся); изменения; химия,человек,семь,,,,Худой и злой человек мог семь раз ПРЕВРАЩАТЬСЯ с помощью ХИМИИ в камень(4 тон) После чего начинал ТАЯТЬ и полностью РАСТВОРЯТЬСЯ.,
159,nü3,女,,женщина,женщина; женский пол,женщина,,,,,"Женщина, девушка с голубыми (3 тон) волосами, Мальвина",
160,wu3,五,,пять,пять; пятый,5,,,,,,
161,dai4,代,,"поколение, эра, династия","1) заменять; замещать; 2) исторический период, поколение",человек,вратарь,,,,"Худенький и злой человечек из ДИНАСТИИ Дай (это произношение), невзлюбил придворного вратаря, так как он был из нового ПОКОЛЕНИЯ, носил стильную черную (4 тон) форму.  А ЭРА злого человечка уже давно прошла. ",
162,xiang1,相,,"1. друг друга, взаимно  
2  вид, наружность",xiāng обоюдный; взаимно; друг другу,дерево,лестница,,,,"Дерево и лестница это типа синонимы. Они могут заменить ДРУГ ДРУГА. Из дерева можно сделать деревянную (1 тон) лестницу. А из лестницы, хм…нельзя сделать дерево. Вот и выходит, или не выходит, что они ВЗАИМНО заменяемые. ",
163,hua1,华,華,"1. китайский
2. чудесный, великолепный",разноцветный; яркий,человек,матросик,десять,,,Худенький и злой человечек подарил КИТАЙСКОМУ матросику (хотя может это и цифра 7) букет из десяти выструганных из дерева (1 тон) цветов. Какой это был ЧУДЕСНЫЙ и ВЕЛИКОЛЕПНЫЙ праздник для матросика.,
164,ping2,平,,"1. ровный, горизонтальный 
2. ровнять, сравнять 
3. успокоить(ся)",1) ровный; 2) горизонтальный; 3) мирный; 4) обычный,отбойный молоток,пчела,пчела,,,"В продажу поступила новая модель отбойного молотка. В нее вживлены злобные красные (2 тон) глазки. Они следят за тем, когда рабочий РОВНЯЕТ асфальт, чтобы все было РОВНЫМ и ГОРИЗОНТАЛЬНЫМ. И УСПОКАИВАЮТСЯ когда все соблюдено. ",
165,huo4,或,,"1. может быть, возможно 
2. или, либо",союз или; либо,таэквондоист,рот,копье,,,"У таэквондоиста показательные выступления. На них он, ВОЗМОЖНО, сможет своим ртом перекусить грязную (4 тон) арматурину (это палочка снизу рта).ЛИБО, ИЛИ он сломает себе челюсть",
166,jiu3,九,,девять,девять; девятый,,,,,,ключ,
167,shui3,水,,вода,вода; водяной; гидро-,вода,,,,,"Вода, прохладная, а на глубине синяя (3 тон).",
168,she4 ,社,,"клуб, группа, общество, союз",издательство; редакция; агентство; общество,модель,росток,,,,"Толстуха, иногда топ модель (в разных шрифтах)  с ростком из земли в декоративном каменном (4 тон) горшочке, входит в КЛУБ, ОБЩЕСТВО любителей кактусов. И она лучшая в ГРУППЕ кактусоводов.  ",
169,bi3,比,,"сравнивать, меряться, соревноваться 
2 чем",сравнивать; в сравнении; сравниться; соревноваться,матросы,,,,,"Матросики в голубых (3 тон) тельняшках на палубе всегда МЕРЯЛИСЬ своими хвостиками:). СРАВНИВАНИЕ длинны хвостиков издревле считалось любимой морской забавой. У одного хвостик всегда оказывался длиннее, ЧЕМ у другого.",
170,nei4,内,,"1. в, на, внутри 
2. в, на, в течении",1) внутренний; 2) женский,турник,человек,,,,"Человек на турнике так крутился, что перекрутил у себя ВНУТРИ всю ВНУТРЕННЮЮ анатомию. У него аж камни(4) из почек повылазили наружу. Для этого он крутился В ТЕЧЕНИИ 2 часов.",
171,wei4,位,,место; позиция (счетное слово); разряд,место; позиция (счетное слово),человек,атлет,,,,"Худенький злой человечек говорит, в какую ПОЗИЦИЮ должен стать атлет и в какое МЕСТО. И он его слушает, несмотря на его 1 РАЗРЯД по вьетнамской борьбе нят-ням
И все это происходит в темной (4 тон) комнате. И глаза у обоих какие-то через чур пошлые.",
172,jun1,军,軍,"армия, войска",армия; войска; военный,скамейка,телега,,,,В АРМИЮ поступили новые цвета хаки (1 тон) телеги с поставленными в ряд скамейками.,
173,che1,车,車,автомобиль; колёсное средство передвижения,колёсное средство передвижения; колёсный механизм упр.,телега,,,,,"Телега, МАШИНА, СРЕДСТВО ПЕРЕДВИЖЕНИЯ с деревянными (1 тон) колесами.  ",
174,shi3,使,,"применять, использовать; заставить",послать; заставить; использовать; применять,человек,сабля,рот,лист,,"рот проглотил листик, тогда худой человечек ИСПОЛЬЗОВАЛ саблю, чтобы достать его, он ЗАСТАВИЛ рот проглатить её",1
175,zhi4,制,(制),"1. составлять, создавать, делать  
2. система, режим",изготовлять; производить; вырабатывать,Маугли,флаг,меч,,,"Маугли СОЗДАЛ, СДЕЛАЛ черный (4 тон) штандарт, выстругав его каменным мечом. Это символ нового РЕЖИМА в джунглях. ",
176,du4,度,,"1. градус 
2 киловатт-час",градус; степень; мера,крокодил,паланкин,пузо,,,Крокодил Гена поставил паланкин себе на пузо и вращал его каждую минуту на один ГРАДУС против часовой стрелки. И за час он трением выработал целых 5 КИЛОВАТТ-ЧАСОВ. Пузо обгорело и почернело (4 тон),
177,xiang4,向,(曏),"1. к, по направлению к, в направлении, напротив 
2. направление(направление)",быть обращённым к; повернуться к; направление,турник,пчела,рот,,,"На турнике сидит жирненькая, лохматенькая черно (4 тон) желтая пчелка, а снизу голодный рот, который медленно ползет К, ПО НАПРАВЛЕНИЮ К, пчелке. ",
178,bing4,并,(併),"1. объединиться, соединиться  
2. вместе, одновременно, совместно 
3. и, к тому же",1) объединить(ся); соединить; совмещать; 2) и; тоже,пчела,пчела,японские ворота,,,"На японских черных (4 тон) воротах сидели две жирных и ленивых пчелки. Они ОДНОВРЕМЕННО захотели СОЕДИНИТЬСЯ, ОБЪЕДИНИТЬСЯ хм…вы понимаете, о чем я:). ВМЕСТЕ же всегда веселей. Но так как они были жирными, И К ТОМУ ЖЕ еще и  ленивые, то так И остались сидеть на своих местах.",
179,huo2,活,,"1. жить, живой  
2. работа",1) жить; быть в живых; живой; 2) подвижный; быстрый,вода,язык,,,,"Язык лакает красную (2 тон) воду и во все стороны летят брызги. Вы уже поняли, что это настоящий  ЖИВОЙ вампир лакает кровь (2 тон), чтобы ЖИТЬ вечно. Такая РАБОТА ко всему еще и повышает КВАЛИФИКАЦИЮ вампира.",
180,guan1,关,(關),"1. закрывать, затворить, выключить 
2. застава, таможня",1)закрывать; 2)заботиться,аист,великан,,,,"Великан поймал аиста прямо на ЗАСТАВЕ. Тот пытался перевезти контрабандой через таможню группу детей, обернув тех в зеленые(1 тон) листы лопуха. Теперь аиста ЗАКРОЮТ в каталажке, и ВЫКЛЮЧАТ там свет. ",
181,ti3,体,體,"1. тело, организм, сущность 
2 форма, вид",тело; организм,человек,дерево,копье,,,"Из злого и худенького человечка, прямо из его ТЕЛА сзади, вылез странной ФОРМЫ, стеклянный (3 тон) корень (дерево, проткнутое копьем) Это вылезла наружу его злая СУЩНОСТЬ. ",
182,zong3,总,,1) главный; генеральный; 2) объединяющий; 3) общий; 4) всегда,1) главный; генеральный; 2) объединяющий; 3) общий; 4) всегда,глаза,рот,сердце,,,,
183,gei3,给,給,"для, давать, позволять",давать; предоставлять,сопливый нос,крыша,рот,,,"Домик и сопливый нос, в этом домике живет голубой (3 тон) гей (произношение), Который ПОЗВОЛЯЕТ всем иметь себя в нос. Ну, ДАЕТ всем. Поэтому и нос сопливый.",
184,ru4,入,,входить,входить,вигвам,,,,,В индейский вигвам можно ВОЙТИ только с черного (4 тон) входа,
185,shen2,什,,какой? что? (служебное слово при вопросе),1) десять; 2) какой? что?,человек,10,,,,худенький человек задает ВОПРОС по 10 раз,
186,yuan2,员,員,"1. член (партии), работник 
2. суффикс для образования профессий",служащий персонал; служащий; нанятый или занятый какой-либо работой,рот,сирота,,,,Рот торжественно принимает сироту в ЧЛЕНЫ коммунистической (2 тон) партии,
187,shen1,身,,тело,тело; туловище,воевода,,,,,Воевода прятал под своим зеленым (1 тон) камзолом сытое и упитанное ТЕЛО. ,
188,jian4,见,見,"1. видеть, видно 
2. смотри, см. 
3. взгляд, мнение, появляться",увидеть; заметить; видеть(ся) упр.,бомж,,,,,"Старый бомж в своей грязной черной (4 тон) коробке ПОЯВЛЯЕТСЯ всегда в самый неподходящий момент. Но УВИДЕТЬ его лицо не удается никому, как не СМОТРИ. На мой ВЗГЛЯД у него просто нет лица.",
189,chang2,常,,"1. частый, часто 
2. обыкновенный, обычный 
3. постоянный; неизменный",1) постоянный; неизменный; 2) обычно; часто,тиара,рот,флаг,,,На красном (2 тон) флаге изображен рот в тиаре (короне). ЧАСТО такие флаги вручали самым отъявленным  разбойникам. Самым ОБЫЧНЫМ занятием которых были грабежи и пьянки. И это традиция оставалась НЕИЗМЕННОЙ веками. ,
190,bei4,被,,"1. кем-то, пассивная форма 
2. одеяло",1) одеяло; 2) (обозначение пассивной формы),трансвестит,казак с саблей,,,,"У трансвестита КЕМ-ТО была отрублена штучка. Но мы то знаем, что это сделал своей шашкой казак. Затем он завернул это в черное (4 тон) ОДЕЯЛО",
191,xi1,西,,запад,1) запад; западный; 2) покрывать,грузин,,,,,"Грузин давно просился на ЗАПАД, но так как он деревянная (1 тон) чурка, его туда не берут.",
192,ci4,次,,"1. второй, следующий 
2.порядок, очередь 
3. раз  
4. плохой, второсортный.",следующий; второй; порядок; очерёдность; раз,ракетка,чубчик,человек,,,"Человек с чубом и ракеткой теннисной. Был ВТОРОСОРТНЫМ теннисистом. Он постоянно запутывался своим длинным чубом в ракетке. Пытаясь выпутаться, он измазался черной(4 тон) ваксой. И чтобы привести его в ПОРЯДОК он встал в ОЧЕРЕДЬ к парикмахеру. Он был уже ВТОРЫМ в очереди, когда парикмахерская закрылась. В следующий РАЗ может ему и повезет.",
193,qi1,期,,"1. срок  
2 период, полоса",срок; время; период,мост,Нефертити,,,,По мосту в три пролета с огромной скоростью носится Нефертити в зеленом (1 тон) платье. Бегает с одного берега на другой. Такие ПЕРИОДЫ повторяются по 10 раз в день.Мне нужно отследить за какой СРОК она пробегает через мост.,
194,ge4,各,,"каждый, всякий, любой",1) каждый; всякий; 2) отдельный,страус,рот,,,,"КАЖДЫЙ, ЛЮБОЙ африканский страус Эму - негр (4 тон) ВСЯКИЙ раз прыгая через тебя, попытается нагадить тебе в рот. Так что держи его закрытым. ",
195,"ji2
",及,,достигать,достигать,мамонт,,,,,"Мамонт наконец то ДОСТИГ края земли. Посмотрел, повздыхал и умер. А на месте его смерти поставили медного (2 тон) мамонта",
196,shao3,少,,"1. мало, немного 
2. недоставать, не хватать 
3 молодой",мало; немного; редко,самолет,лист,,,,"С маленького голубенького (3 тон) самолетика скинули всего одну листовку, этого явно было МАЛО, совсем НЕНОГО, для нашего города. Видимо за штурвалом сидел совсем МОЛОДОЙ пилот. НЕХВАТКА пилотов сказывается и на агитации. ",
197,da2,打,,"1. бить, ударять 
2. дюжина",бить; ударять; стучать; разбивать; молотить; забивать; делать,рука,кайло,,,,"Как только я беру в свою руку кайло, сразу же начинаю всех БИТЬ и УДАРЯТЬ направо и налево. И где-то уже после пятой ДЮЖИНЫ прибитых, стерев руки в кровь (2 тон) я успокаиваюсь и засыпаю.",
198,te4 ,特,,"1. особенный, специальный 
2 отличаться, выделяться","особый, специальный; чрезвычайный",корова,росток,кран,,,"Корова была ОСОБЕННОЙ, и ОТЛИЧАЛАСЬ от других не только своим красивым черно-белым (4 тон) окрасом. Но и тем, что могла, с лихостью управляя подъемным краном, выдернуть даже маленький росток из земли.",
199,xiang4,象,,"1. слон  
2. похожий, подобный, как 
3. как будто, словно",слон; внешность,чубчик,очки,свинья,,,"Свинья надела темные (4 тон) моднючие очки, завила себе чуб плойкой, чтобы быть ПОХОЖЕЙ на слонов.  И теперь всем заявляет, что она СЛОН.  КАК БУДТО мы ей поверим.",
200,kou3,口,,"1. рот 
2. вход, отверстие, дыра 
3. горлышко, жерло.","рот; вход похоже на 囗 wéi граница, ограда",рот,,,,,"РОТ с синими (3 тон) губами. Такой большой, что его можно использовать как ВХОД",
201,ying1 ying4,应,應,"1. следует, необходимо, должен  
2. соглашаться  
3.  отвечать, откликаться","1) отзываться, откликаться; отвечать; ответ; 2) нужно",крокодил,зубы,рычаг,,,"Крокодил Гена, работает стрелочником. Он дал ОБЕЩАНИЕ. И два зуба (что повышает значимость данного обещания) (это две черточки под «крокодилом»). Когда будет проходить черный( 4 тон) вражеский поезд, ему НЕОБХОДИМО будет дернуть за рычаг (снова импровизация, это снизу две черты)  и пустить его под откос. За свои слова Гена ОТВЕЧАЕТ.  И он СОГЛАСИЛСЯ на это из любви к своей работе.",
202,dong1,东,東,"1. восток, восточный 
2 хозяин",восток; восточный; нужно сделатьОМ как упрощённый вариант от 東 восток,копье,локоть,самолет,,,"Я решил бежать на ВОСТОК на маленьком самолете. Чтобы обмануть радары ПВО, я под локтем зажал деревянное (1 тон) копье",1
203,tai4,太,,"1. слишком, чересчур, излишне 
2. очень, весьма, чрезвычайно","1) слишком, чересчур; чрезвычайно; 2) сильно значимый",великан,пчела,,,,"Великана, укусила между ног пчелка, что КРАЙНЕ, ОЧЕНЬ, СЛИШКОМ, ЧРЕЗВЫЧАЙНО больно, даже для великана.  Последствия прискорбны, почерневшие (4 тон) причиндалы пришлось ампутировать",
204,bao4,报,,"1. газета 
2. информировать, докладывать","извещать, оповещать; докладывать; доносить; доклад; газета",рука,тесак,пузо,,,"Я своей рукой покромсал каменным (4 тон) тесаком(неудобный зараза) пузана-газетчика. Потом завернул останки в черную (4 тон) ГАЗЕТУ, каждый кусочек по отдельности, люблю во всем аккуратность. И ПРОИНФОРМИРОВАЛ его маму о случившемся по телефону.",
205,hai3,海,,море,море; морской,вода,тяпка,теннисисты,,,"Под брызгами воды, теннисисты тяпками  в открытом синем (3 тон) МОРЕ играют в теннис, их оторвало вместе с кортом и унесло в море. Они уже посинели (3 тон) от холода, но продолжаю играть",
206,tai2 tai1,台,(臺檯颱),"площадка, станция, платформа (возвышающееся сооружение)","возвышающееся сооружение, напр.: площадка, станция, платформа",мешок,рот,,,,,
207,he2,合,,"соединять
соответствовать
всего",1) соединяться; 2) закрывать,крыша,рот,,,,,
208,fan3,反,,анти-,"перевернуть; обратный; противоположный; нужно сделатьОМ, как потенциальное первообразное феникса",слепой крокодил,пузо,,,,"Слепой крокодильчик отъел себе огромное пузо, так как не видел что ест. А ел он всякую калорийную гадость. Теперь ему нужно ПЕРЕЙТИ на специальные голубые (3 тон) таблетки «АНТИ Пузин» ПРОТИВ ожирения. И тогда его пузо НАОБОРОТ вернется в прежний размер.",
209,wan4,万,萬,десять тысяч,десять тысяч,футболист,,,,,"Если футболисту отрубить голову то он станет черным (4 тон) легионером, то есть вступит в легион - ДЕСЯТЬ ТЫСЯЧ",1
210,li4,利,,"1. выгода, польза, преимущество 
2. острый 
3. благоприятный","1) польза; выгода, выгодный; 2) острый",дама,меч,,,,"Дама, вся в черном (вдова) с хорошей выгодой, пользой для себя продала очень ОСТРЫЙ меч мужа, выкованный из черной (4 тон) метеоритной стали, поэтому и ОСТРЫЙ. Это была единственная память о нем.",
211,zai4,再,,снова; опять; ещё; ще раз,снова; опять; ещё; ще раз,турник,король,,,,"Король на турнике, СНОВА, ОПЯТЬ попытался подтянуться. И ЕЩЕ РАЗ он всем доказал, что он тюфяк. Почерневший (4 тон) от злобы он убежал плакать к себе в хоромы",
212,guo3,果,,1) плод; фрукт; ягода; фруктовый; 2) результат,1) плод; фрукт; ягода; фруктовый; 2) результат,поле,дерево,,,,"Посреди поля стоит волшебное дерево, маленькое и стеклянное (3 тон), которое раз в 10 лет приносит волшебные ФРУКТЫ.",
213,wu4,物,,вещь; предмет,вещь; предмет,корова,Буратино,,,,Буратино своими грязными ( 4 тон) длинными и узловатыми руками запихивал под хвост коровы какие-то ВЕЩИ и ПРЕДМЕТЫ. СУТЬ его манипуляций до сих пор загадка. ,
214,zhen1,真,,"1. истинный, подлинный,  реальный 
2. действительно, в самом деле",настоящий; истинный; достоверный; действительный; правдивый,десять,лестница,дорога,,,"В Римской империи,  чтобы сделать ИСТИННУЮ, ПОДЛИННУЮ дорогу, под нее зарывали 10 деревянных (1 тон) лестниц. И В САМОМ ДЕЛЕ выходила, ДЕЙСТВИТЕЛЬНО, РЕАЛЬНАЯ дорога на века.",
215,li4,立,,"устанавливать, стоять, поставить",1) стоять; поставить; 2) основывать; воздвигать,атлет,,,,,Каменную (4 тон) скульптуру атлета можно УСТАНОВИТЬ прямо в холле. Или лучше ПОСТАВИТЬ ее в спальне?,
216,bie2,别,別,"другой
отличать
не нужно","1) расставаться, разлучаться; 2) другой; иной; прочий",рот,калашников,меч,,,"рот приказывает мне взять меч и сдалеть мой калашников ОТЛИЧНЫМ от ДРУГИХ автоматов, я же противлюсь что НЕ НУЖНО",1
217,chang3,场,場,"двор, площадка, поле","ток, гумно, холм; место сбора людей",росток,конек-горбунок,,,,"Из земли вырастает росток, пробиваясь сквозь синюю стеклянную(3 тон) брусчатку ДВОРА (знатный видимо двор). Но тут прискакивает конек горбунок сжирает 
его и весело гогоча, убегает в ПОЛЕ",
218,shan1,山,,гора,гора; горный,горы,,,,,"Гора, покрытая до самой вершины, сочной зеленой (1 тон) травой.",
219,tong1,通,,"1) сквозь; через; 2) связаться; сообщать(ся); 3) уведомить; 4) открытый; открывать (открытый, связаться, уведомить)","1) сквозь; через; 2) связаться; сообщать(ся); 3) уведомить; 4) открытый; открывать (открытый, связаться, уведомить)",маркитантка,фуражка,бабушка нефертити,,,,
220,sheng1,声,聲,"звук, голос",звук; голос; звуковой,бомбардировщик,топор,,,,"Бомбардировщик с зелеными (1 тон) крыльями скинул с большой высоты топор, тот упал наземь и треснул, при этом раздался громкий ЗВУК, похожий на ГОЛОС. ",
221,xin4,信,,письмо,1) верить; доверять; доверие; удостоверять(ся); 2) письмо; сигнал,человек,кастрюля с блинами,,,,"Худенький человечек открывает кастрюлю с блинами и достает оттуда черное (4 тон)  ПИСЬМО, подгорело видимо. А в ПИСЬМЕ изложены ДОСТОВЕРНЫЕ факты, которым можно ВЕРИТЬ",
222,ba1,八,,восемь,восемь; восьмой,,,,,,можно ВОСЕМЬ раз бить барабанными палочками (ба-ба-ба),1
223,ming4,命,,"жизнь, судьба",жизнь,крыша,рот,тесак,,,"Под крышей, темной (4 тон) ночью, пьяный рот, размахивая острым тесаком. Жалуется мне на свою ЖИЗНЬ и СУДЬБУ",
224,ti2,提,,подъем(лифт),держать в руке; поднимать; нести (за ручку),рука,солнце,жена Мазая,,,Я своими руками ПОДНИМАЮ раскрасневшуюся (2 тон) жену Мазая из лодки и НЕСУ ее в тень. На солнце она получила солнечный удар. ,
225,shi4,市,,"город, рынок",1) город; 2) рынок,крышка,флаг,,,,"В древности, сверху на черный (4 тон) флаг-штендер прибивали крышку от кастрюли, и втыкали в землю, когда хотели основать новый ГОРОД или РЫНОК",
226,bai3,百,,100,1) сто; сотня; 2) множество; все,холодильник,копье,,,,"Копье на холодильник не ложи, 100 раз говорил, именно 100. И где ты нашел стеклянное (3 тон) копье",
227,jian4,件,,"пункт, отдельный предмет, счетное слово","сч. сл. для предметов одежды, дел, вещей, документов и т. п. (штука)",человек,корова,,,,"Злой и худенький человек выставил свою грязную (4 тон) однорогую корову, как ОТДЕЛЬНЫЙ ПРЕДМЕТ, ПУНКТ на аукционе Кристи. ",
228,xing4,性,,"1. характер, свойство 
2 секс, пол, половой","1) характер, природа; свойство; 2) пол (биологический); 3) секс",сердце,якудза,,,,"Якудза вырвал у себя сердечко  и о, ужас, занялся с ним  СЕКСОМ. От пережитого шока сердечко почернело (4 тон) Воистину ХАРАКТЕР таких ПОЛОВЫХ извращений еще долго останется для нас загадкой.",
229,shu3 ,数,數,"1. считать, пересчитывать, подсчитывать 
2. число, сумма","считать; пересчитывать; математика, цифра, число",рис,женщина,хвостатая цапля,,,"Трудолюбивая девушка собирала рис в стеклянную (3 тон) банку, когда с болота пришла хвостатая цапля, и хитрым голосом предложила ПОДСЧИТАТЬ количество риса, типа она его СЧИТАТЬ будет.",
230,shu1,书,書,книга,книга; писать,книга*,,,,,"Толстая КНИГА в деревянном (1 тон) переплете, вокруг летает и жужжит зеленая муха. Запоминаем многократными повторениями:)",
231,men2,门,門,дверь; ворота; проход,дверь; ворота; проход; упр.,дверь,,,,,Дверь с красной (2 тон) кнопочкой звонка в углу.,
232,geng4,更,,1) ещё; еще больше 2) менять(ся); изменять(ся); сменяться; ,1) менять(ся); изменять(ся); сменяться; 2) ещё; еще больше,копье,лом,лист,солцне,,"кто-то ненормальный кинул чугунной копье на солнце (4 тон), так оно там и застряло. Я пытался отковырять его ломом, но тот только БОЛЬШЕ застревал в солнце. Тогда кто-то повесил листик с предупреждением ""не МЕНЯТЬ, так задумано"".",1
233,ti2,题,題,"тема, задача, вопрос, проблема",тема; вопрос; проблема,солнце,жена Мазая,римский легионер,,,"Под жарким солнцем, в полудреме, лежала разомлевшая красная( 2тон) жена Мазая,. Вдруг к ней подошел с шумным лязгом своих медных(2 тон) лат, и дыхнув перегаром, вежливо обратился римский легионер с ВОПРОСОМ. Он задал ей ЗАДАЧУ на ТЕМУ баллистики. Но поскольку такие непонятные ПРОБЛЕМЫ мало волновали жену Мазая, она, зевнув, просто отвернулась. Оставив легионера ритмично позвякивать латами в тоскливом одиночестве. ",
234,lu4,路,,"1. путь, дорога, улица 
2. сторона",дорога; путь,Мазай,хвостатая цапля,рот,,,"Дед Мазай собрался в дальнюю ПУТЬ ДОРОГУ в Африку, чтобы спасти страуса Эму от злого черного (4 тон) папуасского рта. На другой СТОРОНЕ УЛИЦЫ был магазин «Охотник», где Мазай и собирался прикупить себе харчей на ДОРОГУ. ",
235,xian1,先,,1) старший; 2) более ранний,1) старший; 2) более ранний,Маугли,сломанные ножки,,,,,
236,mei3,每,,каждый,"каждый, всякий",тяпка,теннисисты,,,,"КАЖДЫЙ теннист прежде чем взять в руки ракету, должен научиться отбивать мяч стеклянной (3 тон) тяпкой",
237,jiao1 jiao4,教,,преподавать,обучать; преподавать; учить,прыгун,египетский посох,хвостатая цапля,,,"С зеленого (1 тон) болота пришла большая хвостатая цапля и начала УЧИТЬ прыгуна Бубку, прыгать через египетский остро наточенный посох. А если он не слушался, больно клевала его в зад. И тут же замазывала рану зеленкой (1 тон)",
238,fang4,放,,"отпускать, освобождать","1) отпускать; выпускать, освобождать; 2) положить",футболист,хвостатая цапля,,,,"Футболист вынужден был ОТПУСТИТЬ, ОСВОБОДИТЬ хвостатую цаплю - талисман его футбольной команды, из ее каменной (4 тон) клетки. Потому что она скучала по своим деткам. ",
239,liu4,六,,шесть,шесть; шестой,,,,,,ключ,
240, ji4,计,計,"вычислять, считать, подсчитывать",считать; исчислять(ся); насчитываться,маньяк,десять,,,,Сексуальный маньяк СЧИТАЛ и  ПОДСЧИТЫВАЛ число своих жертв. Их было ровно 10. Именно 10 каменных (4 тон) памятников огулял наш малыш.,
241,zhi4,至,,"1. к, до, по 
2. весьма, чрезвычайно",дойти до; достигнуть; до; к; достигать,скелет рыбы,,,,,"Скелет рыбки почерневший (4 тон) от времени весьма, чрезвычайно аппетитен. От начала и ДО конца.",
242,zuo4,做,,"делать, производить, изготовлять",делать; изготавливать; заниматься (делами),человек,могила,хвостатая цапля,,,"Худенький и злой человечек, вместе с хвостатой цаплей ПРОИЗВОДИТ, ДЕЛАЕТ чудные каменные (4 тон) могилки. ",
243,yuan2,原,,"1. первоначальный, первичный 
2. необработанный, сырой",изначальный; первоначальный; первый; оригинальный; первоначально,слепой крокодил,холодильник,самолет,,,"Слепой крокодильчик на самолетике врезался в холодильник, все естественно в крови (2 тон). 
А ПЕРВИЧНЫЙ план у слепого крокодильчика был поесть СЫРОГО мяса из холодильника",
244,shi4,世,,"1. мир, вселенная  
2. жизнь, поколение 
3. век, эпоха","1) жизнь; поколение; 2) мир, вселенная",угол,паланкин,,,,"Черный (4 тон) эбонитовый паланкин стоит в углу (угол-это «кол» и «копье», для наглядности мы их объединили в «угол»)  много веков. В нем находится наш МИР, ВСЕЛЕННАЯ. И сменится не одно ПОКОЛЕНИЕ, закончится не одна ЖИЗНЬ. Пока мы не разгадаем тайну эбонитового паланкина. ",
245,zhan3,展,,"1) выставлять, выставка 2) развёртывать(ся); развивать(ся)",1) развёртывать(ся); развивать(ся); 2) выставлять,топор,шлем,вождь*,,,на всемирной ВЫСТАВКЕ в Париже демонстрировали вождя Чингачкука с топором-томогавком в стеклянном шлеме,1
246,bian1,边,邊,"1. грань, край, сторона 
2 около, у 
3 одновременно, параллельно","край, сторона, бок; кайма; берег; граница",нога,автомат Калашникова,,,,"Маркитантка, сидя на завалинке, натирает все СТОРОНЫ, ГРАНИ и КРАЯ автомата Калашникова, зеленой (1 тон) полировальной пастой Гои. ОКОЛО ее завалинки выстроилась очередь желающих начистить автомат. ОДНОВРЕМЕННО, ПАРАЛЛЕЛЬНО она может обслужить двух клиентов. ",
247,ren4,任,,"1. назначать, определять 
2. служить, работать",назначать (на должность),человек,лист,росток,,,"Худой и злой человечек был НАЗНАЧЕН,  ОПРЕДЕЛЕН на должность садовника. Ему выдали черные (4 тон) хромовые сапоги. А СЛУЖИТ, РАБОТАЕТ он так: как только пробивается новый росток из земли. Он бежит и накрывает его сверху листиком. Чтобы не замерз. ",
248,jie3,解,,"1. развязать, расстегнуть 
2. объяснять","1) разреживать; развязывать, распускать; 2) уяснять, понимать; 3) разлучать(ся)",чубчик,бабушка Нефертити,шмайсер,корова,,"Бабушка ОТВЯЗАЛА от своего чуба корову, отвела ее подальше. РАССТЕГНУЛА бушлат и достала трофейный шмайстер. И ненавязчиво вертя им перед носом у коровы, начала ОБЪЯСНЯТЬ, что удои стоит повысить. Посиневшая (3 тон) от испуга корова внимала каждому ее слову. ",
249,gan1 gan4,干,幹乾,"1) касаться, иметь отношение; делать; 2) сухой","1) касаться, иметь отношение; делать; 2) сухой, 3) щит похоже на 千 qiān тысяча; кило-; похоже на 于 yú универсальный предлог литературного языка в; с; к; от; для; у; в, около",отбойный молоток,,,,,ключ,
250,cai2,才,,"1. талант; способность 
2. только, лишь","1) талант; одарённость, способности; 2) только что; похоже на 扌; похоже на 寸 дюйм",бэтмен,,,,,"Чтобы стать суперменом, несомненно, нужен ТАЛАНТ и  СПОСОБНОСТИ.  И ТОЛЬКО затем тебе выдадут красный (2 тон) плащ и в тон ему суперменские трусы.",
251,zi1,资,資,капитал; средства,капитал; средства,ракетка,чубчик,человек,сирота,,,
252,shou4,受,,"1. выносить, выдерживать, терпеть  
2. получить, встретить",получать; принимать,лист,тиара,пузо,,,"Лапка взяла скамейку и положила ее на пузо. Она давила все сильнее, с любопытством наблюдая, сколько еще сможет ВЫДЕРЖАТЬ пузо. А пузо ТЕРПЕЛО, так как надеялась ПОЛУЧИТЬ за свои страдания большую миску черных (4 тон) отрубей.",
253,jie4,界,,граница,межа; граница; рубеж; пределы; рамки,поле,человек,ломик,кол,,"человек провел ГРАНИЦУ через поле с одно стороны воткнул лом, с другой - кол, и покрасил все черной (4 тон) краской",
